analysis_id,method,k,label
1cc57b2f24ec,kmeans,2,0
0682c2fb3f25,kmeans,2,0
707832701211,kmeans,2,1
189af765f7e2,kmeans,2,1
59d3bc8fb718,kmeans,2,0
8c42dfba7e2c,kmeans,2,1
2c5900b9d30f,kmeans,2,1
9a26b5a93ff9,kmeans,2,1
c035e0d909e8,kmeans,2,1
854d751c7f96,kmeans,2,1
914463eb1a00,kmeans,2,1
14d439f746d4,kmeans,2,0
a2899c841fc7,kmeans,2,0
c2d6ff5cf1ce,kmeans,2,0
def649d3f8fc,kmeans,2,0
4a124e1ed9ca,kmeans,2,0
13506064803d,kmeans,2,1
1ad7389aba39,kmeans,2,1
c195a47a1a41,kmeans,2,1
b0d2c4162458,kmeans,2,1
4a5c43f181e5,kmeans,2,0
db4e7a4fe438,kmeans,2,0
b6b00ee798f0,kmeans,2,1
cf0e8bf0f5d3,kmeans,2,1
4a9a8f6896ef,kmeans,2,1
9716ee35235b,kmeans,2,1
de5e71ae6d03,kmeans,2,1
8a821dac946e,kmeans,2,1
c70028c7277b,kmeans,2,1
26efa3d0f87a,kmeans,2,1
b886fc0d853b,kmeans,2,0
2a71b405b665,kmeans,2,1
a00e12064313,kmeans,2,1
b32d7d16ecbb,kmeans,2,1
081e4a1d2828,kmeans,2,1
aa8d7516e477,kmeans,2,1
052c072e5473,kmeans,2,1
e3253330e56d,kmeans,2,1
f7fc3b71059b,kmeans,2,1
feb6c4c582e9,kmeans,2,0
9009f5684dde,kmeans,2,1
c40d12166c3d,kmeans,2,1
2d18f2ccad0d,kmeans,2,0
8758b9112998,kmeans,2,1
e1e95c7bffb4,kmeans,2,1
4239d46569f8,kmeans,2,0
34de111120de,kmeans,2,0
69011e800eb9,kmeans,2,0
4c1d8b1f7199,kmeans,2,0
6e401f2a9523,kmeans,2,1
111dc9fb08c8,kmeans,2,1
c2a449f3aa13,kmeans,2,1
36c6d34d8540,kmeans,2,0
1b6159713abc,kmeans,2,1
c7845805e7e1,kmeans,2,1
f3b67e18ac18,kmeans,2,0
1b17a8828106,kmeans,2,1
08ec41654875,kmeans,2,0
b440c4bccc88,kmeans,2,1
558eaef5a93e,kmeans,2,0
dc8602ca96a0,kmeans,2,0
a1f2d43b3ade,kmeans,2,1
489b54849c63,kmeans,2,1
290f8ef1a2d9,kmeans,2,1
23b3ed0a4aee,kmeans,2,1
f28a7ad6b970,kmeans,2,1
17417f8c3d35,kmeans,2,1
854f70d2c56a,kmeans,2,0
40480270e732,kmeans,2,1
37c690a2d077,kmeans,2,0
1d1b84fded24,kmeans,2,1
cd77a9bd378c,kmeans,2,0
2359b8577e23,kmeans,2,0
de51f803685b,kmeans,2,1
2452513a82ac,kmeans,2,1
eb244f6fde7c,kmeans,2,1
b42de17b2962,kmeans,2,1
980aef90df6a,kmeans,2,1
f3ea08a5dd69,kmeans,2,1
08a8aef1efb7,kmeans,2,0
da867616af2c,kmeans,2,0
784c628c4979,kmeans,2,1
13ada8cd8137,kmeans,2,1
af122816ed12,kmeans,2,0
5769e8c88621,kmeans,2,0
ef49f606fbf3,kmeans,2,1
5f700545e946,kmeans,2,0
c7b13135d384,kmeans,2,0
e362532a133b,kmeans,2,1
e872024bb285,kmeans,2,0
e51400b733c7,kmeans,2,0
235d9079694f,kmeans,2,1
15dd161a1de6,kmeans,2,0
8c36f946fa39,kmeans,2,0
2dd7bc6bd0e0,kmeans,2,1
e0af9d46dd7f,kmeans,2,0
394682cbb820,kmeans,2,1
5ad67bdb9fc2,kmeans,2,1
a9e4c769b7fd,kmeans,2,1
24f77e2cd27d,kmeans,2,1
edc34b3a6c3d,kmeans,2,1
b0530887123f,kmeans,2,0
1d7d57f3c2b6,kmeans,2,1
79cf3ff76ed2,kmeans,2,1
677ae3988090,kmeans,2,1
066a09c56ae6,kmeans,2,0
1397d7954ce7,kmeans,2,0
6bcbd207f61e,kmeans,2,0
a34a1ea0035b,kmeans,2,1
5e051bff8b77,kmeans,2,0
ff821b733ed1,kmeans,2,0
656eeb676cdb,kmeans,2,1
0a0ca22c859d,kmeans,2,1
5d93ed99436d,kmeans,2,0
c3d41fcbbffc,kmeans,2,0
ffd4c9e91690,kmeans,2,0
093cf715379b,kmeans,2,1
e0fa6cd54e79,kmeans,2,0
4f969eb75ed1,kmeans,2,1
4fd5d6b84ab4,kmeans,2,1
8dea7f07dac4,kmeans,2,1
ceece08ec30c,kmeans,2,1
90810ea0ff9b,kmeans,2,1
d6015ccd6f2a,kmeans,2,1
edd0004b8711,kmeans,2,1
6b0f31498997,kmeans,2,1
ed191c6d086d,kmeans,2,1
16c4f9488097,kmeans,2,0
53f53181b923,kmeans,2,1
4a42f241a965,kmeans,2,0
753ea2ec3b76,kmeans,2,1
97a2a24cf1ac,kmeans,2,1
7a023b9a699a,kmeans,2,0
1d66aadb3087,kmeans,2,1
fe2ea62e970c,kmeans,2,1
bbb167581c9e,kmeans,2,1
5983d3bde094,kmeans,2,0
015e855f7412,kmeans,2,0
301dc5df9e1a,kmeans,2,1
1da6b3261366,kmeans,2,1
908350ab2caf,kmeans,2,1
0297326556d0,kmeans,2,1
5333c0ee2293,kmeans,2,1
f9ba126f7577,kmeans,2,0
c2a5e6736cf8,kmeans,2,1
713b74a9fb64,kmeans,2,0
7baeb45178c4,kmeans,2,0
498e8ec8d6fe,kmeans,2,1
2be57d9e9071,kmeans,2,0
989023c5016d,kmeans,2,1
f96245648e19,kmeans,2,1
9cf2a95b1d8a,kmeans,2,1
cc79a583ad2a,kmeans,2,0
f8986418ea55,kmeans,2,1
44b609a292c1,kmeans,2,0
71e0541594df,kmeans,2,0
d4379462da61,kmeans,2,1
3c264c30d42a,kmeans,2,1
860c24709bc5,kmeans,2,1
60edbfa3c029,kmeans,2,0
fd431d5d227d,kmeans,2,0
a7e5f85ff20f,kmeans,2,1
e03327b64281,kmeans,2,1
b38820b6c407,kmeans,2,1
f89cf3e19267,kmeans,2,0
824f5ede2834,kmeans,2,1
37e2b1e3c072,kmeans,2,1
632dae81c229,kmeans,2,0
f38740766c7d,kmeans,2,1
abb0333f1826,kmeans,2,1
9c9ff750e24a,kmeans,2,1
d10b02f13579,kmeans,2,1
495196c0b96c,kmeans,2,0
02dfbb012d54,kmeans,2,1
dc9fb4ec0eb8,kmeans,2,1
2036bee97859,kmeans,2,1
47dab789e252,kmeans,2,1
043fe1cc9b15,kmeans,2,1
9aa5612d579c,kmeans,2,0
aca22c0b754d,kmeans,2,1
d981137bec70,kmeans,2,1
be5921ef5796,kmeans,2,1
0a9f2b1eb270,kmeans,2,1
b967b59b1d65,kmeans,2,0
1d3f78ace976,kmeans,2,1
4cf9f2b22272,kmeans,2,1
51cb174c4c2d,kmeans,2,0
42ed376b70cc,kmeans,2,1
17b4c6ee6a7b,kmeans,2,1
a6dee822b480,kmeans,2,1
224e7eed53ee,kmeans,2,1
f800f8e797c7,kmeans,2,1
97397b5013e5,kmeans,2,0
c6c3f0825e9a,kmeans,2,0
2773677608f0,kmeans,2,0
1d56fc586747,kmeans,2,1
60032d08fe7c,kmeans,2,1
8d6c32d34649,kmeans,2,0
f8617dfffa84,kmeans,2,1
64c7531f1f28,kmeans,2,1
3600aca2e74c,kmeans,2,0
efe4ebc3ce0c,kmeans,2,1
2341c6362bff,kmeans,2,1
45a9b1f46732,kmeans,2,0
882516b12301,kmeans,2,1
d3c954c4b045,kmeans,2,0
ae768f372948,kmeans,2,1
2cf0963c0d6b,kmeans,2,1
9f82b111e936,kmeans,2,1
89ce38debe35,kmeans,2,0
d509ae409da0,kmeans,2,1
d32458ba0b75,kmeans,2,1
854b835c4459,kmeans,2,1
1e5ffa20908c,kmeans,2,1
09f0567f5e01,kmeans,2,0
bf21ab2e0c7f,kmeans,2,1
1f27f04d0ec1,kmeans,2,0
7deb0c02eec8,kmeans,2,1
53c1985940c4,kmeans,2,1
aa1545bb620d,kmeans,2,0
85f32c060421,kmeans,2,1
ee7649aebbd3,kmeans,2,1
e9db18905254,kmeans,2,1
00af3ae6283b,kmeans,2,1
0852198eb5db,kmeans,2,1
cd999108ca3b,kmeans,2,1
87e17719b591,kmeans,2,0
6960ed5d6de0,kmeans,2,1
64fc66aa07e7,kmeans,2,1
132138f5acbb,kmeans,2,1
19a6a0ffdb39,kmeans,2,0
a5cac1e1138f,kmeans,2,1
2b5dde0a9784,kmeans,2,1
b44615b20a99,kmeans,2,1
3f4c9f2c4d00,kmeans,2,1
e44df5b25229,kmeans,2,1
bc727066fa74,kmeans,2,1
a19a0c235ae8,kmeans,2,1
8279397a028d,kmeans,2,1
20e5542944b5,kmeans,2,1
6319e262c292,kmeans,2,1
2f7511715c88,kmeans,2,1
edb1133e9d75,kmeans,2,1
e42834bf99dd,kmeans,2,1
ecb70c401ba5,kmeans,2,1
844ab8bb2f7e,kmeans,2,0
49a4e62c97fe,kmeans,2,1
dd9821d69edf,kmeans,2,1
e4d9903e3097,kmeans,2,1
efc46803f73a,kmeans,2,1
dd38f7376880,kmeans,2,0
b1f21eaad4c0,kmeans,2,0
35de9401de64,kmeans,2,0
fb937ed3802e,kmeans,2,1
b262aed1217e,kmeans,2,1
6d8dc5c078a6,kmeans,2,1
38cee92b065f,kmeans,2,1
f6e6a8738f98,kmeans,2,1
3be50ddfe672,kmeans,2,0
155256bb1944,kmeans,2,1
ce300d82f677,kmeans,2,1
e955aa3c79c2,kmeans,2,1
ea9c1b2c025b,kmeans,2,1
29761c512843,kmeans,2,0
278690b4176c,kmeans,2,1
d32394928f18,kmeans,2,1
b99446564f14,kmeans,2,1
f6251d7d74f2,kmeans,2,1
343c84605d84,kmeans,2,1
a369ea8f8860,kmeans,2,1
77c18a818920,kmeans,2,1
055cef6b7562,kmeans,2,1
784e244ec319,kmeans,2,0
e6be938322d5,kmeans,2,1
acf33d393ade,kmeans,2,1
bc68824d6652,kmeans,2,1
f3573a48597f,kmeans,2,0
c05727b8d1bf,kmeans,2,1
313d553c7d7e,kmeans,2,1
2651bad92999,kmeans,2,1
be82d43f76b5,kmeans,2,1
0d0aa1a4cef1,kmeans,2,1
e7c9bd1c65ff,kmeans,2,0
a691f167bcd1,kmeans,2,0
60de46492870,kmeans,2,1
870ce6ff6bec,kmeans,2,0
a96994f10702,kmeans,2,1
aef421a03f0a,kmeans,2,0
11d80d469291,kmeans,2,1
c847041698b0,kmeans,2,1
cfd55ee04865,kmeans,2,1
74e5810062f7,kmeans,2,0
e3c61ba2348c,kmeans,2,0
538d36019bf8,kmeans,2,1
ce05c748454f,kmeans,2,1
bfe2b6d573f7,kmeans,2,0
d209b182fc10,kmeans,2,0
5e0e23d339d8,kmeans,2,1
2a7646037a29,kmeans,2,1
21d5bb7d6347,kmeans,2,1
0a6cc340abad,kmeans,2,1
4fb2bee931b5,kmeans,2,0
f224068222f7,kmeans,2,1
04c86e861dc1,kmeans,2,1
5e779c615732,kmeans,2,0
7cd883d65b06,kmeans,2,1
b38c8408d846,kmeans,2,0
75e758c2a32f,kmeans,2,1
ecb4a05554a0,kmeans,2,0
7d701e7dd42e,kmeans,2,1
d5310b2ac190,kmeans,2,1
8f0c0fcea9e9,kmeans,2,1
5ff909819ad2,kmeans,2,0
3b1fc460c2b7,kmeans,2,0
271012fe0911,kmeans,2,1
94f376ab2363,kmeans,2,1
14ddba24e653,kmeans,2,1
731ed25df393,kmeans,2,1
c0f4ea8d3262,kmeans,2,0
c10b7ed034ec,kmeans,2,1
55c683136817,kmeans,2,1
9fb024e9a9cd,kmeans,2,1
e3c5bb2be32b,kmeans,2,1
ac960e11925a,kmeans,2,1
5d3a9ab3cadd,kmeans,2,1
8de4ac5ba199,kmeans,2,0
3303e6ac1454,kmeans,2,1
bd4d77b820c6,kmeans,2,1
164ea748b2c2,kmeans,2,1
ced9a2f50e6a,kmeans,2,1
a3c99e45d0e2,kmeans,2,1
54ca63b8d226,kmeans,2,1
932635948923,kmeans,2,0
b2d86452adc2,kmeans,2,0
9990b3a98e69,kmeans,2,1
60bff3fb7b25,kmeans,2,1
45f100216947,kmeans,2,1
977cf245ae54,kmeans,2,0
426b98137bcd,kmeans,2,1
5d15feff4d5e,kmeans,2,1
d686cc911636,kmeans,2,0
b493160c1a22,kmeans,2,0
864da380b8da,kmeans,2,1
83e807d083f2,kmeans,2,1
7193b0fe6e86,kmeans,2,0
8d9047d9e23a,kmeans,2,1
fe51502093fd,kmeans,2,1
ed3f17db3b69,kmeans,2,0
6ee919e97fed,kmeans,2,0
4af4101a4ed2,kmeans,2,0
aa982feba760,kmeans,2,0
016a4a0f0d92,kmeans,2,0
91bf2483dec9,kmeans,2,1
3c205a60d068,kmeans,2,1
c57b8d91f032,kmeans,2,1
d6a5c98da0e8,kmeans,2,1
0115f8a3d576,kmeans,2,0
406c54681c86,kmeans,2,1
f0d8bf6f24bf,kmeans,2,0
c49746e3b12e,kmeans,2,1
9893b542403c,kmeans,2,1
26d12e3ebd1e,kmeans,2,1
1503878c7bc0,kmeans,2,1
163b76297c77,kmeans,2,1
600dad4df0ca,kmeans,2,1
2d8f2252855c,kmeans,2,0
87b105ed70c6,kmeans,2,1
616f82abb2cc,kmeans,2,1
cc41551e4363,kmeans,2,1
ad813e3739b0,kmeans,2,0
d078ba8c5f9a,kmeans,2,1
26daaa521a0b,kmeans,2,1
59635aff0e13,kmeans,2,1
2ec0cb313dcf,kmeans,2,1
f23337d9a46f,kmeans,2,1
e33d9aec3f9b,kmeans,2,1
799c5c35fccb,kmeans,2,1
8d5c7356c7ae,kmeans,2,1
a2a7394dd0b2,kmeans,2,0
0635a5b43e92,kmeans,2,1
2ca4a95a05a2,kmeans,2,1
207c62cb8140,kmeans,2,1
adf5bd6fa3c7,kmeans,2,1
52541210555c,kmeans,2,1
d2191bad412b,kmeans,2,1
7d27ee19b524,kmeans,2,1
698a5a0b0180,kmeans,2,0
596030fef93e,kmeans,2,1
492a0f0f8c54,kmeans,2,0
ae7a94e69d1d,kmeans,2,1
bdf0b223fc53,kmeans,2,1
e5470cfabfc3,kmeans,2,1
d05a94edf752,kmeans,2,1
d29e7f55b9a6,kmeans,2,1
9da6e684fed0,kmeans,2,0
febfedbf32a7,kmeans,2,0
8faedede5298,kmeans,2,1
75900d8cc2dd,kmeans,2,0
77912914b944,kmeans,2,0
4c849d376332,kmeans,2,0
02575ba6c980,kmeans,2,1
86ed033dff57,kmeans,2,1
e19ae96731b6,kmeans,2,1
5d9fd5f438aa,kmeans,2,1
27cab63f49f9,kmeans,2,1
3a2768d8fbe3,kmeans,2,1
8aec44220e63,kmeans,2,0
b9939ab84aab,kmeans,2,1
435754b2a097,kmeans,2,1
45ee47db0b36,kmeans,2,1
0482496b2f92,kmeans,2,1
8e14085ada58,kmeans,2,1
7db9bbbeb2c8,kmeans,2,1
670ca52a24c4,kmeans,2,0
ce1d79ec7247,kmeans,2,0
43cd60313665,kmeans,2,1
341ef0c2da76,kmeans,2,0
bd56d83d073c,kmeans,2,1
0103fe0f628f,kmeans,2,1
70b54322c382,kmeans,2,0
45be29dd302f,kmeans,2,1
5f1c089c5b18,kmeans,2,1
845c36347272,kmeans,2,1
1bee2afb3557,kmeans,2,1
58794f5c0252,kmeans,2,1
412d86362096,kmeans,2,1
b62bc155602d,kmeans,2,1
e29e547d02fa,kmeans,2,1
35cb1431e768,kmeans,2,1
a82ee19220b5,kmeans,2,1
8fd21eb5464c,kmeans,2,0
f9121e1f62e5,kmeans,2,1
c8fe42b2921b,kmeans,2,1
dad5a56973b0,kmeans,2,0
f68a2f6ff9a0,kmeans,2,0
54ad2624ad8d,kmeans,2,1
e1152ff3283b,kmeans,2,1
f0d2e5c8c897,kmeans,2,1
5ae5aeb06988,kmeans,2,1
c52b4fa97083,kmeans,2,1
8dbc7b583363,kmeans,2,1
f30b0835ba2f,kmeans,2,1
a02ec2c24943,kmeans,2,1
fe71a98ef10d,kmeans,2,0
5bdded78b387,kmeans,2,1
ab3987df782e,kmeans,2,1
15c63a8cff93,kmeans,2,1
796ae60079e2,kmeans,2,1
ae094633ca15,kmeans,2,1
2089b2990667,kmeans,2,1
3b8ff0c4f402,kmeans,2,1
b86c389c5deb,kmeans,2,0
4b19af42cef6,kmeans,2,0
2b236ff323e0,kmeans,2,0
f1f9c8edf6fb,kmeans,2,1
5eb77d95369c,kmeans,2,1
27475de623ca,kmeans,2,1
4ca9c8b36369,kmeans,2,0
502150e46893,kmeans,2,1
050c978f7aa5,kmeans,2,1
195938573d5b,kmeans,2,1
04e55973c1c7,kmeans,2,1
15ff204a31fd,kmeans,2,1
c30df82bc273,kmeans,2,1
2c4faeae7f20,kmeans,2,0
8701386a8ecb,kmeans,2,1
daf3d8b1220c,kmeans,2,1
3d7ef3da9ecb,kmeans,2,0
bc642c031ee7,kmeans,2,0
68d79b53f463,kmeans,2,1
aa8d988e0704,kmeans,2,1
fb5226784277,kmeans,2,0
730e693b3e59,kmeans,2,1
8ba05599e31e,kmeans,2,0
40ace406bbd5,kmeans,2,1
02fb600d1d3b,kmeans,2,1
f27a5c108454,kmeans,2,1
2ecaa0278867,kmeans,2,1
2777cd9cb06d,kmeans,2,1
9b5cf58da426,kmeans,2,0
f71a04a0a3f7,kmeans,2,1
ca74fd8ebbba,kmeans,2,1
b39c5ed8fba2,kmeans,2,0
0bbeab764f8a,kmeans,2,0
1c8aaa2555d7,kmeans,2,0
c8b87d4f303b,kmeans,2,1
42adb05f4c19,kmeans,2,1
7a7b7824babf,kmeans,2,1
299676d4cba9,kmeans,2,1
a57fb5f9eb38,kmeans,2,1
567c41667649,kmeans,2,1
b05dcb7ded9d,kmeans,2,1
74f9c2d8bf59,kmeans,2,0
5a654343818a,kmeans,2,0
1b4f042993c4,kmeans,2,1
3d7f611a2afe,kmeans,2,0
fa52108241f1,kmeans,2,0
96ded29b2784,kmeans,2,0
46cd31f478d8,kmeans,2,1
b004e6282254,kmeans,2,0
bd94adadec86,kmeans,2,0
3c2d67622f17,kmeans,2,1
27b19b361fda,kmeans,2,0
07d1b7fc0cc7,kmeans,2,1
9685c0135dbd,kmeans,2,1
ffe7558877c3,kmeans,2,1
3200edf45e15,kmeans,2,0
b8a11614090a,kmeans,2,1
12a59ce5302f,kmeans,2,1
24551794971c,kmeans,2,1
1d9ba6933780,kmeans,2,1
26a3a5466b17,kmeans,2,1
36c529042fbc,kmeans,2,1
df7c9d3d3ecb,kmeans,2,1
755c6850dcd3,kmeans,2,0
9ca67a24e647,kmeans,2,0
8d481d463b81,kmeans,2,1
1b6449ad4332,kmeans,2,0
698ffcfd5c17,kmeans,2,0
3b49fdc1c57e,kmeans,2,1
a2895c2ee0c7,kmeans,2,1
367fda42cf50,kmeans,2,1
7caf1cebc3d2,kmeans,2,1
8881abe07db8,kmeans,2,1
ef194ce33be2,kmeans,2,1
709f9cbe285b,kmeans,2,1
5c7020274acb,kmeans,2,1
6c209161d059,kmeans,2,1
bb17da2c8071,kmeans,2,0
f67c7a7ea59b,kmeans,2,1
2ab513bae6d4,kmeans,2,0
0ef8cb7d5d52,kmeans,2,0
915c7c5eecee,kmeans,2,0
0dd65f844067,kmeans,2,1
90415aa5d0ee,kmeans,2,1
da69342492e2,kmeans,2,1
430a1fe6cc1f,kmeans,2,1
779f44957904,kmeans,2,0
410c5ac01a71,kmeans,2,1
fc4c59195af2,kmeans,2,1
362fa8cb91cb,kmeans,2,1
3f505524532b,kmeans,2,1
fc5ee75f0aab,kmeans,2,1
ece035c0486e,kmeans,2,1
1cc4ea7b0ee0,kmeans,2,0
c20c5a39f782,kmeans,2,1
11fe0bb5bb95,kmeans,2,1
804bcbd361e3,kmeans,2,1
68a892c595f5,kmeans,2,1
0c4f77064093,kmeans,2,0
fb7863989cbd,kmeans,2,0
b7f05ed150b5,kmeans,2,1
4daf4e9aeca8,kmeans,2,1
b5c571ab3a9c,kmeans,2,0
abda5f691cba,kmeans,2,0
75fd0b80ffd0,kmeans,2,1
037e4717b544,kmeans,2,1
d5196c54fae6,kmeans,2,0
7c5b2c3f4cdb,kmeans,2,1
e775c3dd78d6,kmeans,2,1
003c91fead41,kmeans,2,1
914df0b2f084,kmeans,2,0
c8422346a1c3,kmeans,2,1
8c2cbd4500c3,kmeans,2,0
a26577b601f2,kmeans,2,1
afcd6d236398,kmeans,2,1
021b26c5c033,kmeans,2,0
d0088820131f,kmeans,2,1
e9be1c5d317f,kmeans,2,1
94028e3486fe,kmeans,2,0
d2bfb03c0e1a,kmeans,2,1
3f8b39a0a392,kmeans,2,1
888d2cec4116,kmeans,2,0
382efa06f70b,kmeans,2,1
28d8711a56f8,kmeans,2,1
ed064c45b676,kmeans,2,1
6d3351835cfd,kmeans,2,1
5ac8104496cc,kmeans,2,1
d0e063bfa731,kmeans,2,1
26b1d8bc81d9,kmeans,2,1
e950688a1bee,kmeans,2,1
0a12aebfa66c,kmeans,2,1
8aa8effa78f4,kmeans,2,1
9ae09d31529b,kmeans,2,1
0b165217635b,kmeans,2,1
05767ae2aeae,kmeans,2,1
b5c86d80487d,kmeans,2,1
2fb9cef7459f,kmeans,2,0
de053f490972,kmeans,2,1
cc6e5cf840b8,kmeans,2,1
235718419a94,kmeans,2,1
cd40342c1d7d,kmeans,2,1
45e40c413abf,kmeans,2,1
c88b7cbaab96,kmeans,2,0
7ad9a1a05ead,kmeans,2,1
6ac9288c0439,kmeans,2,1
c5106e6951de,kmeans,2,1
f27c8424b745,kmeans,2,1
75e92e2eda3d,kmeans,2,0
f503486957f3,kmeans,2,1
ee43f290d625,kmeans,2,0
a7daf6eb16b1,kmeans,2,1
d868ad6d18ee,kmeans,2,0
1e47fc4c3f73,kmeans,2,1
20146cc40856,kmeans,2,1
2f705acf7500,kmeans,2,1
1ab2cd01bcb5,kmeans,2,0
ecd24d3f1403,kmeans,2,1
34c2d94da700,kmeans,2,1
b4bf86e03d9d,kmeans,2,1
693bdc5482b2,kmeans,2,1
65cb2dd6fa98,kmeans,2,1
ae43b8766052,kmeans,2,0
61565249aeab,kmeans,2,0
ab5513e96b2b,kmeans,2,1
8a0268f51447,kmeans,2,0
beac7e884b18,kmeans,2,0
918bec003a5a,kmeans,2,1
bb7768d6748c,kmeans,2,1
0ba969ac9961,kmeans,2,1
623d3192d46f,kmeans,2,0
cf521863dd22,kmeans,2,0
9b6d37e31710,kmeans,2,1
9a8af4347353,kmeans,2,1
dafeccf053a1,kmeans,2,1
e6fb7d3f8110,kmeans,2,0
779cf618a90b,kmeans,2,1
b734b9ae2532,kmeans,2,1
503f77772dc9,kmeans,2,0
26a0c6e0891f,kmeans,2,1
6df2e1505715,kmeans,2,0
6733fbd31501,kmeans,2,1
9c0a2ddca15c,kmeans,2,0
2241c1d06ac1,kmeans,2,1
82f1d36fe1f8,kmeans,2,1
6e9ece07d046,kmeans,2,1
b58ebe74a5fe,kmeans,2,1
7c4faec0f1ae,kmeans,2,1
635cee745389,kmeans,2,0
d2dc6c524acf,kmeans,2,1
415ed833d65f,kmeans,2,0
74792b1f8eb1,kmeans,2,1
a5df96189195,kmeans,2,1
13077d51672c,kmeans,2,1
8a2fea65c9f5,kmeans,2,0
435cfc776601,kmeans,2,0
e5e5836c1d09,kmeans,2,1
6604b4c4d1c0,kmeans,2,0
d9e27533bbe0,kmeans,2,1
a84b99e202c0,kmeans,2,0
4a542fbcb412,kmeans,2,1
b8294716a840,kmeans,2,0
5c3b7f17cb78,kmeans,2,0
2cc08f5e354b,kmeans,2,0
265c1bde8e16,kmeans,2,1
06fb8436d211,kmeans,2,1
94d5dfbb39b0,kmeans,2,1
11bbc26a8ae5,kmeans,2,0
e7dd07f0fcb7,kmeans,2,1
5fd4027fdbfc,kmeans,2,1
9ce01b926a20,kmeans,2,0
c25195951c34,kmeans,2,0
1dff9e0bf6d9,kmeans,2,1
1a10173459b2,kmeans,2,0
df07b45aef40,kmeans,2,1
acfa78c8f6a8,kmeans,2,1
681a0fb72dbe,kmeans,2,1
4daaff78b1ee,kmeans,2,1
97b2a63f0dba,kmeans,2,1
6533b64edc25,kmeans,2,1
a1e4a44d6fad,kmeans,2,1
a31cf338e318,kmeans,2,1
25b8e545a9ce,kmeans,2,0
4fad09c49037,kmeans,2,1
